"sample_id","review_group","mapping_checked","visual_review_status","annotation_issue","notes"
"winoground-000000","both_directions_incorrect","","","",""
"winoground-000001","both_directions_incorrect","","","",""
"winoground-000002","image_to_text_only","","","",""
"winoground-000003","both_directions_incorrect","","","",""
"winoground-000004","both_directions_incorrect","","","",""
"winoground-000005","text_to_image_only","","","",""
"winoground-000006","both_directions_incorrect","","","",""
"winoground-000007","group_correct","","","",""
"winoground-000008","image_to_text_only","","","",""
"winoground-000009","image_to_text_only","","","",""
"winoground-000010","both_directions_incorrect","","","",""
"winoground-000011","image_to_text_only","","","",""
"winoground-000012","both_directions_incorrect","","","",""
"winoground-000013","both_directions_incorrect","","","",""
"winoground-000014","both_directions_incorrect","","","",""
"winoground-000015","image_to_text_only","","","",""
"winoground-000016","both_directions_incorrect","","","",""
"winoground-000017","image_to_text_only","","","",""
"winoground-000018","both_directions_incorrect","","","",""
"winoground-000019","group_correct","","","",""
"winoground-000020","both_directions_incorrect","","","",""
"winoground-000021","both_directions_incorrect","","","",""
"winoground-000022","both_directions_incorrect","","","",""
"winoground-000023","both_directions_incorrect","","","",""
"winoground-000024","image_to_text_only","","","",""
"winoground-000025","both_directions_incorrect","","","",""
"winoground-000026","both_directions_incorrect","","","",""
"winoground-000027","text_to_image_only","","","",""
"winoground-000028","both_directions_incorrect","","","",""
"winoground-000029","group_correct","","","",""
"winoground-000030","image_to_text_only","","","",""
"winoground-000031","both_directions_incorrect","","","",""
"winoground-000032","image_to_text_only","","","",""
"winoground-000033","image_to_text_only","","","",""
"winoground-000034","both_directions_incorrect","","","",""
"winoground-000035","both_directions_incorrect","","","",""
"winoground-000036","image_to_text_only","","","",""
"winoground-000037","image_to_text_only","","","",""
"winoground-000038","both_directions_incorrect","","","",""
"winoground-000039","both_directions_incorrect","","","",""
"winoground-000040","image_to_text_only","","","",""
"winoground-000041","both_directions_incorrect","","","",""
"winoground-000042","image_to_text_only","","","",""
"winoground-000043","both_directions_incorrect","","","",""
"winoground-000044","both_directions_incorrect","","","",""
"winoground-000045","group_correct","","","",""
"winoground-000046","both_directions_incorrect","","","",""
"winoground-000047","both_directions_incorrect","","","",""
"winoground-000048","both_directions_incorrect","","","",""
"winoground-000049","image_to_text_only","","","",""
"winoground-000050","both_directions_incorrect","","","",""
"winoground-000051","both_directions_incorrect","","","",""
"winoground-000052","image_to_text_only","","","",""
"winoground-000053","both_directions_incorrect","","","",""
"winoground-000054","both_directions_incorrect","","","",""
"winoground-000055","group_correct","","","",""
"winoground-000056","both_directions_incorrect","","","",""
"winoground-000057","both_directions_incorrect","","","",""
"winoground-000058","both_directions_incorrect","","","",""
"winoground-000059","both_directions_incorrect","","","",""
"winoground-000060","both_directions_incorrect","","","",""
"winoground-000061","image_to_text_only","","","",""
"winoground-000062","both_directions_incorrect","","","",""
"winoground-000063","both_directions_incorrect","","","",""
"winoground-000064","both_directions_incorrect","","","",""
"winoground-000065","both_directions_incorrect","","","",""
"winoground-000066","both_directions_incorrect","","","",""
"winoground-000067","both_directions_incorrect","","","",""
"winoground-000068","both_directions_incorrect","","","",""
"winoground-000069","image_to_text_only","","","",""
"winoground-000070","both_directions_incorrect","","","",""
"winoground-000071","image_to_text_only","","","",""
"winoground-000072","group_correct","","","",""
"winoground-000073","group_correct","","","",""
"winoground-000074","group_correct","","","",""
"winoground-000075","both_directions_incorrect","","","",""
"winoground-000076","both_directions_incorrect","","","",""
"winoground-000077","both_directions_incorrect","","","",""
"winoground-000078","both_directions_incorrect","","","",""
"winoground-000079","image_to_text_only","","","",""
"winoground-000080","both_directions_incorrect","","","",""
"winoground-000081","both_directions_incorrect","","","",""
"winoground-000082","both_directions_incorrect","","","",""
"winoground-000083","both_directions_incorrect","","","",""
"winoground-000084","both_directions_incorrect","","","",""
"winoground-000085","image_to_text_only","","","",""
"winoground-000086","both_directions_incorrect","","","",""
"winoground-000087","both_directions_incorrect","","","",""
"winoground-000088","group_correct","","","",""
"winoground-000089","both_directions_incorrect","","","",""
"winoground-000090","group_correct","","","",""
"winoground-000091","group_correct","","","",""
"winoground-000092","image_to_text_only","","","",""
"winoground-000093","image_to_text_only","","","",""
"winoground-000094","both_directions_incorrect","","","",""
"winoground-000095","image_to_text_only","","","",""
"winoground-000096","both_directions_incorrect","","","",""
"winoground-000097","group_correct","","","",""
"winoground-000098","both_directions_incorrect","","","",""
"winoground-000099","both_directions_incorrect","","","",""
"winoground-000100","both_directions_incorrect","","","",""
"winoground-000101","image_to_text_only","","","",""
"winoground-000102","both_directions_incorrect","","","",""
"winoground-000103","image_to_text_only","","","",""
"winoground-000104","group_correct","","","",""
"winoground-000105","both_directions_incorrect","","","",""
"winoground-000106","both_directions_incorrect","","","",""
"winoground-000107","both_directions_incorrect","","","",""
"winoground-000108","image_to_text_only","","","",""
"winoground-000109","image_to_text_only","","","",""
"winoground-000110","both_directions_incorrect","","","",""
"winoground-000111","both_directions_incorrect","","","",""
"winoground-000112","both_directions_incorrect","","","",""
"winoground-000113","image_to_text_only","","","",""
"winoground-000114","image_to_text_only","","","",""
"winoground-000115","group_correct","","","",""
"winoground-000116","both_directions_incorrect","","","",""
"winoground-000117","both_directions_incorrect","","","",""
"winoground-000118","image_to_text_only","","","",""
"winoground-000119","both_directions_incorrect","","","",""
"winoground-000120","both_directions_incorrect","","","",""
"winoground-000121","both_directions_incorrect","","","",""
"winoground-000122","image_to_text_only","","","",""
"winoground-000123","both_directions_incorrect","","","",""
"winoground-000124","image_to_text_only","","","",""
"winoground-000125","image_to_text_only","","","",""
"winoground-000126","both_directions_incorrect","","","",""
"winoground-000127","both_directions_incorrect","","","",""
"winoground-000128","both_directions_incorrect","","","",""
"winoground-000129","both_directions_incorrect","","","",""
"winoground-000130","both_directions_incorrect","","","",""
"winoground-000131","both_directions_incorrect","","","",""
"winoground-000132","both_directions_incorrect","","","",""
"winoground-000133","group_correct","","","",""
"winoground-000134","image_to_text_only","","","",""
"winoground-000135","both_directions_incorrect","","","",""
"winoground-000136","both_directions_incorrect","","","",""
"winoground-000137","both_directions_incorrect","","","",""
"winoground-000138","both_directions_incorrect","","","",""
"winoground-000139","both_directions_incorrect","","","",""
"winoground-000140","image_to_text_only","","","",""
"winoground-000141","both_directions_incorrect","","","",""
"winoground-000142","image_to_text_only","","","",""
"winoground-000143","image_to_text_only","","","",""
"winoground-000144","image_to_text_only","","","",""
"winoground-000145","both_directions_incorrect","","","",""
"winoground-000146","both_directions_incorrect","","","",""
"winoground-000147","image_to_text_only","","","",""
"winoground-000148","both_directions_incorrect","","","",""
"winoground-000149","image_to_text_only","","","",""
"winoground-000150","image_to_text_only","","","",""
"winoground-000151","text_to_image_only","","","",""
"winoground-000152","both_directions_incorrect","","","",""
"winoground-000153","both_directions_incorrect","","","",""
"winoground-000154","text_to_image_only","","","",""
"winoground-000155","both_directions_incorrect","","","",""
"winoground-000156","both_directions_incorrect","","","",""
"winoground-000157","text_to_image_only","","","",""
"winoground-000158","image_to_text_only","","","",""
"winoground-000159","image_to_text_only","","","",""
"winoground-000160","both_directions_incorrect","","","",""
"winoground-000161","both_directions_incorrect","","","",""
"winoground-000162","both_directions_incorrect","","","",""
"winoground-000163","image_to_text_only","","","",""
"winoground-000164","image_to_text_only","","","",""
"winoground-000165","both_directions_incorrect","","","",""
"winoground-000166","both_directions_incorrect","","","",""
"winoground-000167","image_to_text_only","","","",""
"winoground-000168","both_directions_incorrect","","","",""
"winoground-000169","both_directions_incorrect","","","",""
"winoground-000170","both_directions_incorrect","","","",""
"winoground-000171","image_to_text_only","","","",""
"winoground-000172","image_to_text_only","","","",""
"winoground-000173","both_directions_incorrect","","","",""
"winoground-000174","image_to_text_only","","","",""
"winoground-000175","both_directions_incorrect","","","",""
"winoground-000176","both_directions_incorrect","","","",""
"winoground-000177","both_directions_incorrect","","","",""
"winoground-000178","both_directions_incorrect","","","",""
"winoground-000179","both_directions_incorrect","","","",""
"winoground-000180","both_directions_incorrect","","","",""
"winoground-000181","image_to_text_only","","","",""
"winoground-000182","both_directions_incorrect","","","",""
"winoground-000183","image_to_text_only","","","",""
"winoground-000184","both_directions_incorrect","","","",""
"winoground-000185","text_to_image_only","","","",""
"winoground-000186","image_to_text_only","","","",""
"winoground-000187","image_to_text_only","","","",""
"winoground-000188","both_directions_incorrect","","","",""
"winoground-000189","both_directions_incorrect","","","",""
"winoground-000190","both_directions_incorrect","","","",""
"winoground-000191","text_to_image_only","","","",""
"winoground-000192","both_directions_incorrect","","","",""
"winoground-000193","both_directions_incorrect","","","",""
"winoground-000194","both_directions_incorrect","","","",""
"winoground-000195","image_to_text_only","","","",""
"winoground-000196","image_to_text_only","","","",""
"winoground-000197","both_directions_incorrect","","","",""
"winoground-000198","both_directions_incorrect","","","",""
"winoground-000199","both_directions_incorrect","","","",""
"winoground-000200","both_directions_incorrect","","","",""
"winoground-000201","both_directions_incorrect","","","",""
"winoground-000202","group_correct","","","",""
"winoground-000203","both_directions_incorrect","","","",""
"winoground-000204","both_directions_incorrect","","","",""
"winoground-000205","text_to_image_only","","","",""
"winoground-000206","both_directions_incorrect","","","",""
"winoground-000207","both_directions_incorrect","","","",""
"winoground-000208","both_directions_incorrect","","","",""
"winoground-000209","both_directions_incorrect","","","",""
"winoground-000210","image_to_text_only","","","",""
"winoground-000211","both_directions_incorrect","","","",""
"winoground-000212","image_to_text_only","","","",""
"winoground-000213","both_directions_incorrect","","","",""
"winoground-000214","both_directions_incorrect","","","",""
"winoground-000215","both_directions_incorrect","","","",""
"winoground-000216","both_directions_incorrect","","","",""
"winoground-000217","both_directions_incorrect","","","",""
"winoground-000218","image_to_text_only","","","",""
"winoground-000219","image_to_text_only","","","",""
"winoground-000220","image_to_text_only","","","",""
"winoground-000221","both_directions_incorrect","","","",""
"winoground-000222","both_directions_incorrect","","","",""
"winoground-000223","both_directions_incorrect","","","",""
"winoground-000224","group_correct","","","",""
"winoground-000225","text_to_image_only","","","",""
"winoground-000226","both_directions_incorrect","","","",""
"winoground-000227","both_directions_incorrect","","","",""
"winoground-000228","both_directions_incorrect","","","",""
"winoground-000229","both_directions_incorrect","","","",""
"winoground-000230","text_to_image_only","","","",""
"winoground-000231","both_directions_incorrect","","","",""
"winoground-000232","both_directions_incorrect","","","",""
"winoground-000233","both_directions_incorrect","","","",""
"winoground-000234","both_directions_incorrect","","","",""
"winoground-000235","image_to_text_only","","","",""
"winoground-000236","image_to_text_only","","","",""
"winoground-000237","image_to_text_only","","","",""
"winoground-000238","both_directions_incorrect","","","",""
"winoground-000239","image_to_text_only","","","",""
"winoground-000240","both_directions_incorrect","","","",""
"winoground-000241","both_directions_incorrect","","","",""
"winoground-000242","image_to_text_only","","","",""
"winoground-000243","both_directions_incorrect","","","",""
"winoground-000244","image_to_text_only","","","",""
"winoground-000245","image_to_text_only","","","",""
"winoground-000246","both_directions_incorrect","","","",""
"winoground-000247","group_correct","","","",""
"winoground-000248","both_directions_incorrect","","","",""
"winoground-000249","both_directions_incorrect","","","",""
"winoground-000250","group_correct","","","",""
"winoground-000251","image_to_text_only","","","",""
"winoground-000252","image_to_text_only","","","",""
"winoground-000253","image_to_text_only","","","",""
"winoground-000254","both_directions_incorrect","","","",""
"winoground-000255","both_directions_incorrect","","","",""
"winoground-000256","both_directions_incorrect","","","",""
"winoground-000257","group_correct","","","",""
"winoground-000258","both_directions_incorrect","","","",""
"winoground-000259","image_to_text_only","","","",""
"winoground-000260","image_to_text_only","","","",""
"winoground-000261","text_to_image_only","","","",""
"winoground-000262","both_directions_incorrect","","","",""
"winoground-000263","both_directions_incorrect","","","",""
"winoground-000264","both_directions_incorrect","","","",""
"winoground-000265","both_directions_incorrect","","","",""
"winoground-000266","both_directions_incorrect","","","",""
"winoground-000267","both_directions_incorrect","","","",""
"winoground-000268","both_directions_incorrect","","","",""
"winoground-000269","group_correct","","","",""
"winoground-000270","both_directions_incorrect","","","",""
"winoground-000271","image_to_text_only","","","",""
"winoground-000272","image_to_text_only","","","",""
"winoground-000273","image_to_text_only","","","",""
"winoground-000274","both_directions_incorrect","","","",""
"winoground-000275","both_directions_incorrect","","","",""
"winoground-000276","both_directions_incorrect","","","",""
"winoground-000277","both_directions_incorrect","","","",""
"winoground-000278","both_directions_incorrect","","","",""
"winoground-000279","image_to_text_only","","","",""
"winoground-000280","both_directions_incorrect","","","",""
"winoground-000281","both_directions_incorrect","","","",""
"winoground-000282","both_directions_incorrect","","","",""
"winoground-000283","text_to_image_only","","","",""
"winoground-000284","image_to_text_only","","","",""
"winoground-000285","both_directions_incorrect","","","",""
"winoground-000286","both_directions_incorrect","","","",""
"winoground-000287","image_to_text_only","","","",""
"winoground-000288","both_directions_incorrect","","","",""
"winoground-000289","both_directions_incorrect","","","",""
"winoground-000290","both_directions_incorrect","","","",""
"winoground-000291","both_directions_incorrect","","","",""
"winoground-000292","both_directions_incorrect","","","",""
"winoground-000293","both_directions_incorrect","","","",""
"winoground-000294","both_directions_incorrect","","","",""
"winoground-000295","both_directions_incorrect","","","",""
"winoground-000296","image_to_text_only","","","",""
"winoground-000297","both_directions_incorrect","","","",""
"winoground-000298","both_directions_incorrect","","","",""
"winoground-000299","both_directions_incorrect","","","",""
"winoground-000300","both_directions_incorrect","","","",""
"winoground-000301","both_directions_incorrect","","","",""
"winoground-000302","both_directions_incorrect","","","",""
"winoground-000303","group_correct","","","",""
"winoground-000304","both_directions_incorrect","","","",""
"winoground-000305","image_to_text_only","","","",""
"winoground-000306","both_directions_incorrect","","","",""
"winoground-000307","both_directions_incorrect","","","",""
"winoground-000308","both_directions_incorrect","","","",""
"winoground-000309","both_directions_incorrect","","","",""
"winoground-000310","both_directions_incorrect","","","",""
"winoground-000311","group_correct","","","",""
"winoground-000312","both_directions_incorrect","","","",""
"winoground-000313","both_directions_incorrect","","","",""
"winoground-000314","both_directions_incorrect","","","",""
"winoground-000315","both_directions_incorrect","","","",""
"winoground-000316","both_directions_incorrect","","","",""
"winoground-000317","both_directions_incorrect","","","",""
"winoground-000318","group_correct","","","",""
"winoground-000319","both_directions_incorrect","","","",""
"winoground-000320","image_to_text_only","","","",""
"winoground-000321","both_directions_incorrect","","","",""
"winoground-000322","image_to_text_only","","","",""
"winoground-000323","both_directions_incorrect","","","",""
"winoground-000324","image_to_text_only","","","",""
"winoground-000325","group_correct","","","",""
"winoground-000326","image_to_text_only","","","",""
"winoground-000327","group_correct","","","",""
"winoground-000328","text_to_image_only","","","",""
"winoground-000329","image_to_text_only","","","",""
"winoground-000330","both_directions_incorrect","","","",""
"winoground-000331","both_directions_incorrect","","","",""
"winoground-000332","image_to_text_only","","","",""
"winoground-000333","both_directions_incorrect","","","",""
"winoground-000334","image_to_text_only","","","",""
"winoground-000335","image_to_text_only","","","",""
"winoground-000336","both_directions_incorrect","","","",""
"winoground-000337","image_to_text_only","","","",""
"winoground-000338","both_directions_incorrect","","","",""
"winoground-000339","image_to_text_only","","","",""
"winoground-000340","image_to_text_only","","","",""
"winoground-000341","image_to_text_only","","","",""
"winoground-000342","both_directions_incorrect","","","",""
"winoground-000343","image_to_text_only","","","",""
"winoground-000344","both_directions_incorrect","","","",""
"winoground-000345","both_directions_incorrect","","","",""
"winoground-000346","both_directions_incorrect","","","",""
"winoground-000347","both_directions_incorrect","","","",""
"winoground-000348","both_directions_incorrect","","","",""
"winoground-000349","both_directions_incorrect","","","",""
"winoground-000350","both_directions_incorrect","","","",""
"winoground-000351","both_directions_incorrect","","","",""
"winoground-000352","both_directions_incorrect","","","",""
"winoground-000353","both_directions_incorrect","","","",""
"winoground-000354","both_directions_incorrect","","","",""
"winoground-000355","both_directions_incorrect","","","",""
"winoground-000356","both_directions_incorrect","","","",""
"winoground-000357","both_directions_incorrect","","","",""
"winoground-000358","both_directions_incorrect","","","",""
"winoground-000359","image_to_text_only","","","",""
"winoground-000360","image_to_text_only","","","",""
"winoground-000361","both_directions_incorrect","","","",""
"winoground-000362","both_directions_incorrect","","","",""
"winoground-000363","image_to_text_only","","","",""
"winoground-000364","group_correct","","","",""
"winoground-000365","image_to_text_only","","","",""
"winoground-000366","both_directions_incorrect","","","",""
"winoground-000367","both_directions_incorrect","","","",""
"winoground-000368","both_directions_incorrect","","","",""
"winoground-000369","both_directions_incorrect","","","",""
"winoground-000370","both_directions_incorrect","","","",""
"winoground-000371","image_to_text_only","","","",""
"winoground-000372","image_to_text_only","","","",""
"winoground-000373","group_correct","","","",""
"winoground-000374","both_directions_incorrect","","","",""
"winoground-000375","both_directions_incorrect","","","",""
"winoground-000376","image_to_text_only","","","",""
"winoground-000377","image_to_text_only","","","",""
"winoground-000378","both_directions_incorrect","","","",""
"winoground-000379","both_directions_incorrect","","","",""
"winoground-000380","both_directions_incorrect","","","",""
"winoground-000381","image_to_text_only","","","",""
"winoground-000382","image_to_text_only","","","",""
"winoground-000383","both_directions_incorrect","","","",""
"winoground-000384","image_to_text_only","","","",""
"winoground-000385","both_directions_incorrect","","","",""
"winoground-000386","both_directions_incorrect","","","",""
"winoground-000387","image_to_text_only","","","",""
"winoground-000388","both_directions_incorrect","","","",""
"winoground-000389","group_correct","","","",""
"winoground-000390","image_to_text_only","","","",""
"winoground-000391","both_directions_incorrect","","","",""
"winoground-000392","group_correct","","","",""
"winoground-000393","both_directions_incorrect","","","",""
"winoground-000394","both_directions_incorrect","","","",""
"winoground-000395","both_directions_incorrect","","","",""
"winoground-000396","both_directions_incorrect","","","",""
"winoground-000397","image_to_text_only","","","",""
"winoground-000398","both_directions_incorrect","","","",""
"winoground-000399","both_directions_incorrect","","","",""
